ingles,traducao_pt
point 54,ponto cinquenta e quatro
59-point 5,Cinquenta e nove ponto cinco
2 oh 2,Dois zero dois
43-point 5,Quarenta e três ponto cinco
11-point 3,Onze ponto três
8-point 0-seconds,Oito ponto zero segundos
22,Vinte e dois
tenth,Décimo
33-point 6,Trinta e três ponto seis
51-point 9,Cinquenta e um ponto nove
42-point 0,Quarenta e dois ponto zero
3-point 7-seconds,Três ponto sete segundos
point 1-seconds,ponto um segundos
9-point 6,Nove ponto seis
51-point 8,Cinquenta e um ponto oito
54-point 1,Cinquenta e quatro ponto um
point 60,ponto sessenta
40-point 5,Quarenta ponto cinco
49-point 3,Quarenta e nove ponto três
8-point 5,Oito ponto cinco
5-point 8-seconds,Cinco ponto oito segundos
34-point 1,Trinta e quatro ponto um
8-point 6-seconds,Oito ponto seis segundos
31-point 6,Trinta e um ponto seis
55-point 5,Cinquenta e cinco ponto cinco
2 14,Dois quatorze
8-point 0,Oito ponto zero
40-point 7,Quarenta ponto sete
1 47,Um quarenta e sete
point oh 5,ponto zero cinco
54-point 2,Cinquenta e quatro ponto dois
3-point 1-seconds,Três ponto um segundos
point 50,ponto cinquenta
point 14,ponto quatorze
point 42,ponto quarenta e dois
32-point 8,Trinta e dois ponto oito
4-point 6,Quatro ponto seis
47-point 7,Quarenta e sete ponto sete
9-point 0,Nove ponto zero
1-point 5,Um ponto cinco
1 36,Um trinta e seis
28-point 8,Vinte e oito ponto oito
44-point 6,Quarenta e quatro ponto seis
21-point 9,Vinte e um ponto nove
oh 6,Zero seis
11-point 6,Onze ponto seis
11-point 4,Onze ponto quatro
35,Trinta e cinco
57-point 6,Cinquenta e sete ponto seis
31-point 0,Trinta e um ponto zero
12-point 5,Doze ponto cinco
34,Trinta e quatro
59-point 1,Cinquenta e nove ponto um
2 oh 6,Dois zero seis
2 16,Dois dezesseis
43-point 3,Quarenta e três ponto três
39-point 1,Trinta e nove ponto um
20-point 7,Vinte ponto sete
25-point 8,Vinte e cinco ponto oito
72,Setenta e dois
29-point 6,Vinte e nove ponto seis
20-point 8,Vinte ponto oito
1-point 3,Um ponto três
2 27,Dois vinte e sete
0-point 5,Zero ponto cinco
1-point 0,Um ponto zero
point 62,ponto sessenta e dois
5-point 0-seconds,Cinco ponto zero segundos
5-point 1,Cinco ponto um
23,Vinte e três
35-point 0,Trinta e cinco ponto zero
30-point 3,Trinta ponto três
27-point 1,Vinte e sete ponto um
5-point 4-seconds,Cinco ponto quatro segundos
point 88,ponto oitenta e oito
48-point 8,Quarenta e oito ponto oito
8-point 7-seconds,Oito ponto sete segundos
2 26,Dois vinte e seis
point 59,ponto cinquenta e nove
32-point 4,Trinta e dois ponto quatro
31,Trinta e um
7-point 6-seconds,Sete ponto seis segundos
16,Dezesseis
56-point 2,Cinquenta e seis ponto dois
point 71,ponto setenta e um
32-point 1,Trinta e dois ponto um
51-point 6,Cinquenta e um ponto seis
point 57,ponto cinquenta e sete
point 41,ponto quarenta e um
97,Noventa e sete
47-point 9,Quarenta e sete ponto nove
6-point 6,Seis ponto seis
94,Noventa e quatro
13-point 4,Treze ponto quatro
24-point 5,Vinte e quatro ponto cinco
50-point 6,Cinquenta ponto seis
8-point 6,Oito ponto seis
point 7,ponto sete
71,Setenta e um
point 43,ponto quarenta e três
52-point 7,Cinquenta e dois ponto sete
point 37,ponto trinta e sete
point 89,ponto oitenta e nove
45-point 4,Quarenta e cinco ponto quatro
10-point 6,Dez ponto seis
96,Noventa e seis
14-point 5,Catorze ponto cinco
1-point 7,Um ponto sete
4-point 5-seconds,Quatro ponto cinco segundos
20-point 4,Vinte ponto quatro
1 57,Um cinquenta e sete
19-point 5,Dezenove ponto cinco
49-point 9,Quarenta e nove ponto nove
7-point 2,Sete ponto dois
46-point 6,Quarenta e seis ponto seis
42-point 9,Quarenta e dois ponto nove
1 58,Um cinquenta e oito
2 oh 9,Dois zero nove
67,Sessenta e sete
12-point 6,Doze ponto seis
21-point 5,Vinte e um ponto cinco
8-point 2,Oito ponto dois
37-point 1,Trinta e sete ponto um
38-point 1,Trinta e oito ponto um
74,Setenta e quatro
92,Noventa e dois
39-point 7,Trinta e nove ponto sete
21,Vinte e um
23-point 0,Vinte e três ponto zero
21-point 0,Vinte e um ponto zero
11-point 5,Onze ponto cinco
6-point 1,Seis ponto um
4-point 9-seconds,Quatro ponto nove segundos
41-point 3,Quarenta e um ponto três
16-point 1,Dezesseis ponto um
52-point 0,Cinquenta e dois ponto zero
11-point 0,Onze ponto zero
1-point 5-seconds,Um ponto cinco segundos
2-point 1-seconds,Dois ponto um segundos
32-point 6,Trinta e dois ponto seis
14,Catorze
tenths,Décimos
15-point 0,Quinze ponto zero
56-point 7,Cinquenta e seis ponto sete
5-point 0,Cinco ponto zero
42,Quarenta e dois
31-point 9,Trinta e um ponto nove
6-point 9-seconds,Seis ponto nove segundos
24-point 0,Vinte e quatro ponto zero
25-point 0,Vinte e cinco ponto zero
46-point 9,Quarenta e seis ponto nove
65,Sessenta e cinco
35-point 4,Trinta e cinco ponto quatro
24,Vinte e quatro
2 51,Dois cinquenta e um
7-point 7-seconds,Sete ponto sete segundos
42-point 8,Quarenta e dois ponto oito
47-point 2,Quarenta e sete ponto dois
0-point 2,Zero ponto dois
10-point 8,Dez ponto oito
50-point 8,Cinquenta ponto oito
27-point 8,Vinte e sete ponto oito
34-point 6,Trinta e quatro ponto seis
point 91,ponto noventa e um
point oh 9,ponto zero nove
point 35,ponto trinta e cinco
7-point 0-seconds,Sete ponto zero segundos
18-point 3,Dezoito ponto três
8-point 8-seconds,Oito ponto oito segundos
30-point 0,Trinta ponto zero
minute,Um minuto
18-point 0,Dezoito ponto zero
point 51,ponto cinquenta e um
49-point 7,Quarenta e nove ponto sete
81,Oitenta e um
37-point 8,Trinta e sete ponto oito
oh,Zero
24-point 4,Vinte e quatro ponto quatro
oh 5,Zero cinco
29-point 2,Vinte e nove ponto dois
50-point 7,Cinquenta ponto sete
1 30,Um trinta
23-point 4,Vinte e três ponto quatro
14-point 2,Catorze ponto dois
48-point 1,Quarenta e oito ponto um
1 oh 2,Um zero dois
12-point 1,Doze ponto um
9-point 6-seconds,Nove ponto seis segundos
zero,Zero
19-point 3,Dezenove ponto três
16-point 6,Dezesseis ponto seis
14-point 3,Catorze ponto três
point 17,ponto dezessete
24-point 8,Vinte e quatro ponto oito
point 31,ponto trinta e um
6-point 0-seconds,Seis ponto zero segundos
69,Sessenta e nove
38-point 3,Trinta e oito ponto três
point oh 0,ponto zero
41-point 5,Quarenta e um ponto cinco
5-point 7-seconds,Cinco ponto sete segundos
1-point 7-seconds,Um ponto sete segundos
39-point 4,Trinta e nove ponto quatro
58-point 3,Cinquenta e oito ponto três
3-point 2,Três ponto dois
2 25,Dois vinte e cinco
8-point 7,Oito ponto sete
point 78,ponto setenta e oito
2-point 9,Dois ponto nove
point 53,ponto cinquenta e três
86,Oitenta e seis
23-point 5,Vinte e três ponto cinco
1 26,Um vinte e seis
48-point 3,Quarenta e oito ponto três
17,Dezessete
46-point 7,Quarenta e seis ponto sete
1 27,Um vinte e sete
12-point 7,Doze ponto sete
5-point 3,Cinco ponto três
30-point 2,Trinta ponto dois
5-point 2-seconds,Cinco ponto dois segundos
3-point 4,Três ponto quatro
8-point 1,Oito ponto um
point 46,ponto quarenta e seis
3-point 8-seconds,Três ponto oito segundos
18-point 7,Dezoito ponto sete
16-point 2,Dezesseis ponto dois
48-point 5,Quarenta e oito ponto cinco
90,Noventa
6-point 8,Seis ponto oito
56-point 8,Cinquenta e seis ponto oito
27-point 9,Vinte e sete ponto nove
14-point 0,Catorze ponto zero
point 8-seconds,ponto oito segundos
point 74,ponto setenta e quatro
13-point 6,Treze ponto seis
oh 1,Zero um
21-point 8,Vinte e um ponto oito
3-point 9,Três ponto nove
41-point 7,Quarenta e um ponto sete
27-point 3,Vinte e sete ponto três
11-point 8,Onze ponto oito
2 52,Dois cinquenta e dois
57-point 0,Cinquenta e sete ponto zero
29-point 9,Vinte e nove ponto nove
1 11,Um onze
28-point 4,Vinte e oito ponto quatro
18-point 1,Dezoito ponto um
34-point 3,Trinta e quatro ponto três
28,Vinte e oito
point 18,ponto dezoito
53-point 9,Cinquenta e três ponto nove
1 23,Um vinte e três
57-point 3,Cinquenta e sete ponto três
1 59,Um cinquenta e nove
33-point 3,Trinta e três ponto três
37-point 7,Trinta e sete ponto sete
12-point 4,Doze ponto quatro
2 13,Dois treze
1-point 3-seconds,Um ponto três segundos
53-point 4,Cinquenta e três ponto quatro
44-point 8,Quarenta e quatro ponto oito
25-point 7,Vinte e cinco ponto sete
1 oh 1,Um zero um
20-point 1,Vinte ponto um
1 24,Um vinte e quatro
4-point 3-seconds,Quatro ponto três segundos
28-point 2,Vinte e oito ponto dois
30-point 7,Trinta ponto sete
oh 2,dois
8,Oito
38-point 5,Trinta e oito ponto cinco
30-point 1,Trinta ponto um
3-point 6,Três ponto seis
47-point 4,Quarenta e sete ponto quatro
1 16,Um dezesseis
point 96,ponto noventa e seis
11-point 2,Onze ponto dois
8-point 4,Oito ponto quatro
46-point 3,Quarenta e seis ponto três
34-point 0,Trinta e quatro ponto zero
4-point 8-seconds,Quatro ponto oito segundos
36-point 0,Trinta e seis ponto zero
17-point 2,Dezessete ponto dois
point 3-seconds,ponto três segundos
55-point 6,Cinquenta e cinco ponto seis
78,Setenta e oito
59-point 2,Cinquenta e nove ponto dois
50-point 9,Cinquenta ponto nove
1 33,Um trinta e três
44-point 4,Quarenta e quatro ponto quatro
84,Oitenta e quatro
2 44,Dois quarenta e quatro
1 25,Um vinte e cinco
2 53,Dois cinquenta e três
28-point 1,Vinte e oito ponto um
40-point 4,Quarenta ponto quatro
8-point 4-seconds,Oito ponto quatro segundos
83,Oitenta e três
50-point 2,Cinquenta ponto dois
point 93,ponto noventa e três
2-point 7-seconds,Dois ponto sete segundos
1-point 9,Um ponto nove
2 59,Dois cinquenta e nove
32-point 2,Trinta e dois ponto dois
point 68,ponto sessenta e oito
18-point 2,Dezoito ponto dois
2 29,Dois vinte e nove
20-point 3,Vinte ponto três
51-point 1,Cinquenta e um ponto um
point 34,ponto trinta e quatro
22-point 9,Vinte e dois ponto nove
16-point 9,Dezesseis ponto nove
point 69,ponto sessenta e nove
2 30,Dois trinta
1 45,Um quarenta e cinco
24-point 7,Vinte e quatro ponto sete
2-point 9-seconds,Dois ponto nove segundos
16-point 8,Dezesseis ponto oito
20-point 6,Vinte ponto seis
14-point 6,Catorze ponto seis
12-point 2,Doze ponto dois
45-point 5,Quarenta e cinco ponto cinco
56-point 0,Cinquenta e seis ponto zero
6-point 2-seconds,Seis ponto dois segundos
5-point 5-seconds,Cinco ponto cinco segundos
15,Quinze
31-point 7,Trinta e um ponto sete
18,Dezoito
oh 3,Zero três
27-point 5,Vinte e sete ponto cinco
56-point 1,Cinquenta e seis ponto um
9-point 5-seconds,Nove ponto cinco segundos
56-point 5,Cinquenta e seis ponto cinco
1 55,Um cinquenta e cinco
2 34,Dois trinta e quatro
53-point 1,Cinquenta e três ponto um
29-point 3,Vinte e nove ponto três
19-point 2,Dezenove ponto dois
19,Dezenove
13-point 7,Treze ponto sete
28-point 7,Vinte e oito ponto sete
41,Quarenta e um
85,Oitenta e cinco
30-point 9,Trinta ponto nove
51-point 3,Cinquenta e um ponto três
18-point 8,Dezoito ponto oito
4-point 1,Quatro ponto um
2 20,Dois vinte
17-point 6,Dezessete ponto seis
6-point 1-seconds,Seis ponto um segundos
6-point 5,Seis ponto cinco
12-point 0,Doze ponto zero
15-point 1,Quinze ponto um
2 49,Dois quarenta e nove
1-point 1,Um ponto um
10-point 7,Dez ponto sete
22-point 8,Vinte e dois ponto oito
88,Oitenta e oito
37-point 5,Trinta e sete ponto cinco
11,Onze
6-point 6-seconds,Seis ponto seis segundos
53-point 3,Cinquenta e três ponto três
39,Trinta e nove
32-point 9,Trinta e dois ponto nove
51-point 0,Cinquenta e um ponto zero
1 oh 5,Um zero cinco
21-point 3,Vinte e um ponto três
76,Setenta e seis
1 37,Um trinta e sete
1 38,Um trinta e oito
point 44,ponto quarenta e quatro
49-point 4,Quarenta e nove ponto quatro
1 34,Um trinta e quatro
35-point 3,Trinta e cinco ponto três
point 21,ponto vinte e um
40-point 6,Quarenta ponto seis
28-point 9,Vinte e oito ponto nove
1 40,Um quarenta
25-point 6,Vinte e cinco ponto seis
4-point 4-seconds,Quatro ponto quatro segundos
11-point 7,Onze ponto sete
58-point 0,Cinquenta e oito ponto zero
4-point 0,Quatro ponto zero
13-point 2,Treze ponto dois
15-point 7,Quinze ponto sete
47-point 1,Quarenta e sete ponto um
point 65,ponto sessenta e cinco
1 14,Um catorze
59-point 4,Cinquenta e nove ponto quatro
9,Nove
0-point 1,Zero ponto um
15-point 9,Quinze ponto nove
26-point 3,Vinte e seis ponto três
2 10,Dois dez
54-point 9,Cinquenta e quatro ponto nove
25-point 9,Vinte e cinco ponto nove
16-point 3,Dezesseis ponto três
20-point 9,Vinte ponto nove
1 56,Um cinquenta e seis
8-point 9-seconds,Oito ponto nove segundos
54-point 5,Cinquenta e quatro ponto cinco
1 50,Um cinquenta
48-point 0,Quarenta e oito ponto zero
4-point 6-seconds,Quatro ponto seis segundos
38-point 7,Trinta e oito ponto sete
32-point 0,Trinta e dois ponto zero
20-point 5,Vinte ponto cinco
3-point 3,Três ponto três
91,Noventa e um
1 15,Um quinze
29-point 8,Vinte e nove ponto oito
38,Trinta e oito
55-point 2,Cinquenta e cinco ponto dois
21-point 2,Vinte e um ponto dois
point 38,ponto trinta e oito
40-point 3,Quarenta ponto três
point 9-seconds,ponto nove segundos
22-point 6,Vinte e dois ponto seis
point 90,ponto noventa
8-point 3,Oito ponto três
point 56,ponto cinquenta e seis
50-point 1,Cinquenta ponto um
22-point 2,Vinte e dois ponto dois
9-point 4,Nove ponto quatro
1 19,Um dezenove
point 63,ponto sessenta e três
2-point 6,Dois ponto seis
26-point 7,Vinte e seis ponto sete
hundred and,Cem
19-point 6,Dezenove ponto seis
10-point 3,Dez ponto três
57-point 7,Cinquenta e sete ponto sete
27-point 6,Vinte e sete ponto seis
66,Sessenta e seis
7-point 3,Sete ponto três
point 2-seconds,ponto dois segundos
4-point 1-seconds,Quatro ponto um segundos
9-point 9-seconds,Nove ponto nove segundos
23-point 1,Vinte e três ponto um
5,Cinco
1 22,Um vinte e dois
point 22,ponto vinte e dois
5-point 8,Cinco ponto oito
2 oh 5,Dois zero cinco
point 0,ponto zero
18-point 9,Dezoito ponto nove
59-point 9,Cinquenta e nove ponto nove
59-point 8,Cinquenta e nove ponto oito
point 49,ponto quarenta e nove
10-point 4,Dez ponto quatro
9-point 2-seconds,Nove ponto dois segundos
44-point 5,Quarenta e quatro ponto cinco
2-point 1,Dois ponto um
16-point 0,Dezesseis ponto zero
point 19,ponto dezenove
32-point 3,Trinta e dois ponto três
oh 8,Zero oito
2-point 2-seconds,Dois ponto dois segundos
42-point 5,Quarenta e dois ponto cinco
52,Cinquenta e dois
point 8,ponto oito
52-point 4,Cinquenta e dois ponto quatro
55-point 0,Cinquenta e cinco ponto zero
38-point 8,Trinta e oito ponto oito
4-point 7,Quatro ponto sete
27-point 0,Vinte e sete ponto zero
1 12,Um doze
57-point 1,Cinquenta e sete ponto um
point oh 1,ponto zero um
54-point 3,Cinquenta e quatro ponto três
point 99,ponto noventa e nove
1 48,Um quarenta e oito
31-point 2,Trinta e um ponto dois
36-point 5,Trinta e seis ponto cinco
1 oh 6,Um zero seis
48-point 9,Quarenta e oito ponto nove
2-point 2,Dois ponto dois
9-point 7,Nove ponto sete
40-point 0,Quarenta ponto zero
12,Doze
45-point 9,Quarenta e cinco ponto nove
53-point 2,Cinquenta e três ponto dois
33-point 5,Trinta e três ponto cinco
1-point 2-seconds,Um ponto dois segundos
17-point 1,Dezessete ponto um
2-point 3,Dois ponto três
1 32,Um trinta e dois
2-point 4-seconds,Dois ponto quatro segundos
63,Sessenta e três
1 35,Um trinta e cinco
29-point 5,Vinte e nove ponto cinco
point oh 8,ponto zero oito
7-point 0,Sete ponto zero
2 15,Dois quinze
24-point 3,Vinte e quatro ponto três
3-point 0-seconds,Três ponto zero segundos
2 22,Dois vinte e dois
49-point 0,Quarenta e nove ponto zero
25-point 4,Vinte e cinco ponto quatro
12-point 9,Doze ponto nove
26-point 6,Vinte e seis ponto seis
2-point 3-seconds,Dois ponto três segundos
44-point 0,Quarenta e quatro ponto zero
1 53,Um cinquenta e três
point 12,ponto doze
20-point 2,Vinte ponto dois
point 70,ponto setenta
41-point 2,Quarenta e um ponto dois
36-point 3,Trinta e seis ponto três
7-point 4-seconds,Sete ponto quatro segundos
2 12,Dois doze
point 40,ponto quarenta
7-point 2-seconds,Sete ponto dois segundos
point 1,ponto um
2 50,Dois cinquenta
point 10,ponto dez
13,Treze
55-point 7,Cinquenta e cinco ponto sete
27-point 4,Vinte e sete ponto quatro
point 23,ponto vinte e três
49-point 2,Quarenta e nove ponto dois
12-point 3,Doze ponto três
hour,Uma hora
46-point 1,Quarenta e seis ponto um
oh 9,Zero nove
7-point 8-seconds,Sete ponto oito segundos
44-point 9,Quarenta e quatro ponto nove
45,Quarenta e cinco
43-point 1,Quarenta e três ponto um
35-point 9,Trinta e cinco ponto nove
48-point 4,Quarenta e oito ponto quatro
8-point 3-seconds,Oito ponto três segundos
1-point 6-seconds,Um ponto seis segundos
1-point 2,Um ponto dois
1 oh 8,Um zero oito
57-point 2,Cinquenta e sete ponto dois
2 21,Dois vinte e um
49,Quarenta e nove
54-point 8,Cinquenta e quatro ponto oito
point 81,ponto oitenta e um
26-point 9,Vinte e seis ponto nove
2-point 5,Dois ponto cinco
48-point 7,Quarenta e oito ponto sete
23-point 2,Vinte e três ponto dois
34-point 7,Trinta e quatro ponto sete
24-point 2,Vinte e quatro ponto dois
44-point 1,Quarenta e quatro ponto um
2 58,Dois cinquenta e oito
8-point 2-seconds,Oito ponto dois segundos
36-point 8,Trinta e seis ponto oito
53-point 6,Cinquenta e três ponto seis
1-point 8-seconds,Um ponto oito segundos
2 48,Dois quarenta e oito
51,Cinquenta e um
36-point 1,Trinta e seis ponto um
15-point 6,Quinze ponto seis
3-point 0,Três ponto zero
54-point 6,Cinquenta e quatro ponto seis
26-point 5,Vinte e seis ponto cinco
point 72,ponto setenta e dois
24-point 6,Vinte e quatro ponto seis
15-point 5,Quinze ponto cinco
59-point 6,Cinquenta e nove ponto seis
28-point 0,Vinte e oito ponto zero
4-point 0-seconds,Quatro ponto zero segundos
point 39,ponto trinta e nove
point 77,ponto setenta e sete
37-point 9,Trinta e sete ponto nove
45-point 1,Quarenta e cinco ponto um
14-point 1,Catorze ponto um
35-point 5,Trinta e cinco ponto cinco
59-point 3,Cinquenta e nove ponto três
3-point 4-seconds,Três ponto quatro segundos
thousand,Mil
15-point 8,Quinze ponto oito
point 33,ponto trinta e três
30-point 8,Trinta ponto oito
52-point 5,Cinquenta e dois ponto cinco
22-point 1,Vinte e dois ponto um
43-point 8,Quarenta e três ponto oito
0-point 3,Zero ponto três
4-point 2,Quatro ponto dois
58-point 9,Cinquenta e oito ponto nove
50-point 5,Cinquenta ponto cinco
17-point 7,Dezessete ponto sete
29-point 7,Vinte e nove ponto sete
16-point 7,Dezesseis ponto sete
27-point 7,Vinte e sete ponto sete
1 17,Um dezessete
42-point 3,Quarenta e dois ponto três
47,Quarenta e sete
26-point 8,Vinte e seis ponto oito
37-point 0,Trinta e sete ponto zero
1-point 4-seconds,Um ponto quatro segundos
point oh 6,ponto zero seis
1 41,Um quarenta e um
3-point 8,Três ponto oito
point 2,ponto dois
7-point 7,Sete ponto sete
1 20,Um vinte
21-point 1,Vinte e um ponto um
55-point 4,Cinquenta e cinco ponto quatro
39-point 9,Trinta e nove ponto nove
point 85,ponto oitenta e cinco
95,Noventa e cinco
point 6-seconds,ponto seis segundos
56-point 4,Cinquenta e seis ponto quatro
99,Noventa e nove
68,Sessenta e oito
14-point 8,Catorze ponto oito
15-point 3,Quinze ponto três
6-point 5-seconds,Seis ponto cinco segundos
1 21,Um vinte e um
55,Cinquenta e cinco
57-point 9,Cinquenta e sete ponto nove
58-point 2,Cinquenta e oito ponto dois
58-point 7,Cinquenta e oito ponto sete
20,Vinte
52-point 3,Cinquenta e dois ponto três
30-point 4,Trinta ponto quatro
18-point 5,Dezoito ponto cinco
75,Setenta e cinco
0-point 7,Zero ponto sete
1 28,Um vinte e oito
10-point 0,Dez ponto zero
point 6,ponto seis
2 57,Dois cinquenta e sete
3-point 7,Três ponto sete
25,Vinte e cinco
point 79,ponto setenta e nove
45-point 7,Quarenta e cinco ponto sete
7-point 9,Sete ponto nove
53-point 8,Cinquenta e três ponto oito
23-point 8,Vinte e três ponto oito
point 80,ponto oitenta
43-point 7,Quarenta e três ponto sete
1 46,Um quarenta e seis
2 36,Dois trinta e seis
57-point 5,Cinquenta e sete ponto cinco
32-point 7,Trinta e dois ponto sete
54-point 7,Cinquenta e quatro ponto sete
2 17,Dois dezessete
42-point 1,Quarenta e dois ponto um
0-point 8,Zero ponto oito
34-point 2,Trinta e quatro ponto dois
oh 7,Zero sete
53-point 7,Cinquenta e três ponto sete
7-point 1,Sete ponto um
2 oh 4,Dois zero quatro
11-point 1,Onze ponto um
9-point 1,Nove ponto um
2-point 8-seconds,Dois ponto oito segundos
37,Trinta e sete
47-point 5,Quarenta e sete ponto cinco
55-point 8,Cinquenta e cinco ponto oito
thousand and,Mil
8-point 8,Oito ponto oito
22-point 7,Vinte e dois ponto sete
37-point 4,Trinta e sete ponto quatro
second-,Segundo
point 5-seconds,ponto cinco segundos
50-point 0,Cinquenta ponto zero
1 39,Um trinta e nove
2 19,Dois dezenove
17-point 0,Dezessete ponto zero
5-point 6-seconds,Cinco ponto seis segundos
point 4,ponto quatro
19-point 1,Dezenove ponto um
38-point 2,Trinta e oito ponto dois
2 oh 1,Dois zero um
0-point 9,Zero ponto nove
58-point 6,Cinquenta e oito ponto seis
2 28,Dois vinte e oito
52-point 6,Cinquenta e dois ponto seis
point 20,ponto vinte
35-point 6,Trinta e cinco ponto seis
36-point 4,Trinta e seis ponto quatro
10,Dez
point oh 2,ponto zero dois
4-point 8,Quatro ponto oito
46-point 8,Quarenta e seis ponto oito
point 92,ponto noventa e dois
59-point 0,Cinquenta e nove ponto zero
52-point 1,Cinquenta e dois ponto um
1-point 8,Um ponto oito
56-point 9,Cinquenta e seis ponto nove
2 31,Dois trinta e um
13-point 8,Treze ponto oito
zero zero,Zero zero
82,Oitenta e dois
2 39,Dois trinta e nove
38-point 6,Trinta e oito ponto seis
48-point 2,Quarenta e oito ponto dois
1 42,Um quarenta e dois
3-point 6-seconds,Três ponto seis segundos
2-point 6-seconds,Dois ponto seis segundos
34-point 4,Trinta e quatro ponto quatro
36-point 7,Trinta e seis ponto sete
42-point 6,Quarenta e dois ponto seis
point 64,ponto sessenta e quatro
7-point 5,Sete ponto cinco
26-point 0,Vinte e seis ponto zero
double-O,Zero zero
2-point 8,Dois ponto oito
17-point 3,Dezessete ponto três
54,Cinquenta e quatro
6-point 4-seconds,Seis ponto quatro segundos
2 33,Dois trinta e três
3-point 9-seconds,Três ponto nove segundos
9-point 5,Nove ponto cinco
1 oh 9,Um zero nove
50-point 4,Cinquenta ponto quatro
51-point 2,Cinquenta e um ponto dois
48,Quarenta e oito
61,Sessenta e um
31-point 4,Trinta e um ponto quatro
18-point 6,Dezoito ponto seis
10-point 1,Dez ponto um
31-point 5,Trinta e um ponto cinco
43-point 4,Quarenta e três ponto quatro
2 oh 3,Dois zero três
6-point 2,Seis ponto dois
point 48,ponto quarenta e oito
25-point 1,Vinte e cinco ponto um
6-point 0,Seis ponto zero
13-point 1,Treze ponto um
6-point 3,Seis ponto três
8-point 9,Oito ponto nove
10-point 9,Dez ponto nove
31-point 8,Trinta e um ponto oito
22-point 5,Vinte e dois ponto cinco
1 51,Um cinquenta e um
1-point 0-seconds,Um ponto zero segundos
point 4-seconds,ponto quatro segundos
point 36,ponto trinta e seis
33-point 1,Trinta e três ponto um
point 82,ponto oitenta e dois
5-point 5,Cinco ponto cinco
47-point 3,Quarenta e sete ponto três
34-point 8,Trinta e quatro ponto oito
34-point 9,Trinta e quatro ponto nove
2 24,Dois vinte e quatro
57-point 4,Cinquenta e sete ponto quatro
point 47,ponto quarenta e sete
point 55,ponto cinquenta e cinco
point 7-seconds,ponto sete segundos
point oh 3,ponto zero três
9-point 8,Nove ponto oito
3-point 5,Três ponto cinco
26-point 2,Vinte e seis ponto dois
39-point 6,Trinta e nove ponto seis
point 11,ponto onze
62,Sessenta e dois
41-point 0,Quarenta e um ponto zero
23-point 6,Vinte e três ponto seis
point 75,ponto setenta e cinco
point 16,ponto dezesseis
40-point 9,Quarenta ponto nove
38-point 9,Trinta e oito ponto nove
22-point 4,Vinte e dois ponto quatro
28-point 5,Vinte e oito ponto cinco
35-point 8,Trinta e cinco ponto oito
55-point 3,Cinquenta e cinco ponto três
58-point 8,Cinquenta e oito ponto oito
25-point 2,Vinte e cinco ponto dois
55-point 1,Cinquenta e cinco ponto um
52-point 9,Cinquenta e dois ponto nove
hundred,Cem
53-point 0,Cinquenta e três ponto zero
22-point 3,Vinte e dois ponto três
33-point 4,Trinta e três ponto quatro
5-point 9-seconds,Cinco ponto nove segundos
33-point 9,Trinta e três ponto nove
25-point 3,Vinte e cinco ponto três
2 oh 8,Dois zero oito
26,Vinte e seis
59,Cinquenta e nove
38-point 4,Trinta e oito ponto quatro
6-point 3-seconds,Seis ponto três segundos
2 45,Dois quarenta e cinco
9-point 2,Nove ponto dois
point 76,ponto setenta e seis
2 18,Dois dezoito
47-point 0,Quarenta e sete ponto zero
1 29,Um vinte e nove
point 98,ponto noventa e oito
7-point 9-seconds,Sete ponto nove segundos
point 26,ponto vinte e seis
35-point 1,Trinta e cinco ponto um
25-point 5,Vinte e cinco ponto cinco
2 55,Dois cinquenta e cinco
64,Sessenta e quatro
point 66,ponto sessenta e seis
41-point 6,Quarenta e um ponto seis
49-point 8,Quarenta e nove ponto oito
point 95,ponto noventa e cinco
17-point 8,Dezessete ponto oito
41-point 1,Quarenta e um ponto um
29,Vinte e nove
33-point 0,Trinta e três ponto zero
52-point 2,Cinquenta e dois ponto dois
21-point 6,Vinte e um ponto seis
42-point 7,Quarenta e dois ponto sete
46,Quarenta e seis
19-point 0,Dezenove ponto zero
2 37,Dois trinta e sete
52-point 8,Cinquenta e dois ponto oito
1 43,Um quarenta e três
2-point 4,Dois ponto quatro
"you want to watch your water temperature, it's looking a little high","Fica de olho na temperatura da água, tá um pouco alta"
your water temperature's creeping up,A temperatura da água tá subindo
your water temperature looks quite high,Sua temperatura da água parece bem alta
"keep an eye on your oil temperature, it's creeping up","De olho na temperatura do óleo, tá subindo"
your oil temperature's getting a bit high,A temperatura do óleo tá ficando elevada
"watch your oil temperature, it's pretty high","Olha o óleo, tá bem quente"
your water temp is,A Temperatura da água tá em
"okay, mate, your fuel pressure's dropping","Certo, parceiro, pressão de combustível tá caindo"
your fuel pressure's dropping,Sua pressão de combustível tá baixando
you have low fuel pressure,Você está com baixa pressão de combustível
we got a fuel pressure warning here,Tem alerta de pressão de combustível aqui
"your fuel pressure's dropping, it doesn't look good","Pressão de combustível caindo, não tá bonito"
low fuel pressure,Pressão de combustível baixa
"okay, take your time, just get it started","Sem pressa, só liga o carro"
"don't rush, get it running, back it back in the race","Vai com calma, liga ele de novo e volta pra corrida"
"take your time, start it back up and get back in the race","Sem pressa, acende e volta pra disputa"
"okay, mate, take a breath, fire it back up, get back on it","Respira, parceiro, liga de novo e volta pro jogo"
"restart it, get the clutch it next time","Recomeça, pega a embreagem na próxima"
"fire it back up, get back into the fray",Liga e volta pra briga
